feature,gain_importance,pred_col,model_family
book_to_price_ratio,16.730953998863697,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
Variance20,14.821205329149961,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
VMACD,10.437210142612457,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
VOSC,10.129751216620207,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
beta,9.815663687884808,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
Rank1M,6.545911215245724,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
roe_ttm,5.848740093410015,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
sharpe_ratio_60,5.044547982513905,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
momentum,4.26141019910574,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
VOL10,3.673970028758049,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
operating_profit_per_share,2.7497087866067886,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
earnings_to_price_ratio,2.6529179736971855,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
net_operate_cash_flow_per_share,2.5763324946165085,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
debt_to_equity_ratio,2.539052292704582,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
MFI14,2.4520097076892853,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
sales_to_price_ratio,1.984774213284254,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
DAVOL10,1.638930693268776,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
gross_profit_ttm,1.5990350097417831,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
Skewness20,1.5540702864527702,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
Kurtosis20,1.292726807296276,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
MLEV,1.2330088093876839,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
total_operating_revenue_per_share,0.7326200008392334,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
cash_flow_to_price_ratio,0.7116829007863998,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
cash_earnings_to_price_ratio,0.5466121956706047,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
net_working_capital,0.5433416962623596,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
operating_profit_to_total_profit,0.3919000029563904,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
ATR6,0.3304750919342041,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
growth,0.28698209300637245,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
adjusted_profit_to_total_profit,0.14437609910964966,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla
book_to_price_ratio,17.858628764748573,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800
VOSC,15.368616908788681,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800
Rank1M,9.790169175714254,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800
beta,9.233974599745125,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800
Variance20,9.005101662129164,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800
VMACD,8.78273469209671,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800
momentum,7.872304458171129,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800
z_roe_ttm,7.797741182148457,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800
z_sharpe_ratio_60,5.307033576071262,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800
VOL10,4.511609988287091,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800
earnings_yield,2.0571356154978275,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800
gross_profit_ttm,1.8383229420287535,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800
sales_to_price_ratio,1.272992990911007,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800
